Code,Description,Category,Source,Notes;
P0780,Shift Malfunction,Powertrain,OBD-II Standard,;
P0781,1-2 Shift Malfunction,Powertrain,OBD-II Standard,;
P0782,2-3 Shift Malfunction,Powertrain,OBD-II Standard,;
P0783,3-4 Shift Malfunction,Powertrain,OBD-II Standard,;
P0784,4-5 Shift Malfunction,Powertrain,OBD-II Standard,;
P0785,Shift/Timing Solenoid Malfunction/ 3 -2 Shift Solenoid Circuit,Powertrain,OBD-II Standard,;
P0786,Shift/Timing Solenoid Range/Performance,Powertrain,OBD-II Standard,;
P0787,Shift/Timing Solenoid Low,Powertrain,OBD-II Standard,;
P0788,Shift/Timing Solenoid High,Powertrain,OBD-II Standard,;
P0789,Shift/Timing Solenoid Intermittent,Powertrain,OBD-II Standard,;
P0790,Normal/Performance Switch Circuit Malfunction,Powertrain,OBD-II Standard,;
P0791, Intermed iate Shaft Speed Sensor A Circuit,Powertrain,OBD-II Standard,;
P0792, Intermediate Shaft Speed Sensor A Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0793, Intermediate Shaft Speed Sensor A Circuit No Signal,Powertrain,OBD-II Standard,;
P0794, Intermediate Shaft Speed Sensor A Circuit Intermittent,Powertrain,OBD-II Standard,;
P0795, Pressure Control So lenoid C,Powertrain,OBD-II Standard,;
P0796, Pressure Control Solenoid C Performance or Stuck off,Powertrain,OBD-II Standard,;
P0797, Pressure Control Solenoid C Stuck On,Powertrain,OBD-II Standard,;
P0798, Pressure Control Solenoid C Electrical,Powertrain,OBD-II Standard,;
P0799, Pressure Control Solenoid C Intermittent,Powertrain,OBD-II Standard,;
P0800, Transfer Case Control System (MI L Request),Powertrain,OBD-II Standard,;
P0801,Reverse Inhibit Control Circuit Malfunction,Powertrain,OBD-II Standard,;
P0802, Transmission Control System MIL Request Circuit/Open,Powertrain,OBD-II Standard,;
P0803,1-4 Upshift (Skip Shift) Solenoid Control Circuit Malfuncti on,Powertrain,OBD-II Standard,;
P0804,1-4 Upshift (Skip Shift) Lamp Control Circuit Malfunction,Powertrain,OBD-II Standard,;
P0805, Clutch Position Sensor Circui t,Powertrain,OBD-II Standard,;
P0806, Clutch Position Sensor Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0807, Clutch Position Sensor Circuit Low,Powertrain,OBD-II Standard,;
P0808, Clutch Position Sensor Circuit High,Powertrain,OBD-II Standard,;
P0809, Clutch Position Sensor Circuit Intermittent,Powertrain,OBD-II Standard,;
P081,9 Up and Down Shift Switch to Transmission Range Correlation,Powertrain,OBD-II Standard,;
P0810, Clutch Position Control Error,Powertrain,OBD-II Standard,;
P0811, Excessive Clutch S lippage,Powertrain,OBD-II Standard,;
P0812, Reverse Input Circuit,Powertrain,OBD-II Standard,;
P0813, Reverse Output Circuit,Powertrain,OBD-II Standard,;
P0814, Transmission Range Display Circuit,Powertrain,OBD-II Standard,;
P0815, Upshift Switch Circuit,Powertrain,OBD-II Standard,;
P0816, Downshift Switch Circuit,Powertrain,OBD-II Standard,;
P0817, Starter Disable Circuit,Powertrain,OBD-II Standard,;
P0818, Driveline Disconnect Switch Input Circuit,Powertrain,OBD-II Standard,;
P0820, Gear Lever X -Y Position Sensor Circuit,Powertrain,OBD-II Standard,;
P0821, Gear Lever X Position Circuit,Powertrain,OBD-II Standard,;
P0822, Gear Lever Y Position Circuit,Powertrain,OBD-II Standard,;
P0823, Gear Lever X Position Circuit Intermittent,Powertrain,OBD-II Standard,;
P0824, Gear Lever Y Posit ion Circuit Intermittent,Powertrain,OBD-II Standard,;
P0825, Gear Lever Push -Pull Switch (Shift Anticipate),Powertrain,OBD-II Standard,;
P0826, Up and Down Shift Switch Circuit,Powertrain,OBD-II Standard,;
P0827, Up and Down Shift Switch Circuit Low,Powertrain,OBD-II Standard,;
P0828, Up and Down Shift Switch Circuit High,Powertrain,OBD-II Standard,;
P0829, 5-6 Shift,Powertrain,OBD-II Standard,;
P0830, Clutch Pedal Switch A Circuit,Powertrain,OBD-II Standard,;
P0831, Clutch Pedal Switch A Circuit Low,Powertrain,OBD-II Standard,;
P0832, Clutch Pedal Switch A Circuit High,Powertrain,OBD-II Standard,;
P0833, Clutch Pedal Switch B Circuit,Powertrain,OBD-II Standard,;
P0834, Clutch Pedal Switch B Circuit Low,Powertrain,OBD-II Standard,;
P0835, Clutch Pedal Switch B Circuit High,Powertrain,OBD-II Standard,;
P0836, Four Wheel Drive (4WD) Switc h Circuit,Powertrain,OBD-II Standard,;
P0837, Four Wheel Drive (4WD) Switch Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0838, Four Wheel Drive (4WD) Switch Circuit Low,Powertrain,OBD-II Standard,;
P0839, Four Wheel Drive (4WD) Switch Circuit High,Powertrain,OBD-II Standard,;
P0840, Transmission Fluid Pressure Sensor/Switch A Circuit,Powertrain,OBD-II Standard,;
P0841, Transmission Flu id Pressure Sensor/Switch A Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0842, Transmission Fluid Pressure Sensor/Switch A Circuit Low,Powertrain,OBD-II Standard,;
P0843, Transmission Fluid Pressure Sensor/Switch A Circuit High,Powertrain,OBD-II Standard,;
P0844, Transmission Fluid Pressure Sensor/Switch A Circuit Intermit tent,Powertrain,OBD-II Standard,;
P0845, Transmission Fluid Pressure Sensor/Switch B Circuit,Powertrain,OBD-II Standard,;
P0846, Transmission Fluid Pressure Sensor/Switch B Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0847, Transmission Fluid Pressure Sensor/Switch B Circuit Low,Powertrain,OBD-II Standard,;
P0848, Transmission Fluid Pressure Sensor/Swit ch B Circuit High,Powertrain,OBD-II Standard,;
P0849, Transmission Fluid Pressure Sensor/Switch B Circuit Intermittent,Powertrain,OBD-II Standard,;
P0850, Park/Neutral Switch Input Circuit,Powertrain,OBD-II Standard,;
P0851, Park/Neutral Switch Input Circuit Low,Powertrain,OBD-II Standard,;
P0852, Park/Neutral Switch Input Circuit High,Powertrain,OBD-II Standard,;
P0853, Drive Switch Input Circ uit,Powertrain,OBD-II Standard,;
P0854, Drive Switch Input Circuit Low,Powertrain,OBD-II Standard,;
P0855, Drive Switch Input Circuit High,Powertrain,OBD-II Standard,;
P0856, Traction Control Input Signal,Powertrain,OBD-II Standard,;
P0857, Traction Control Input Signal Range/Performance,Powertrain,OBD-II Standard,;
P0858, Traction Control Input Signal Low,Powertrain,OBD-II Standard,;
P0859, Traction Control Input Signal High,Powertrain,OBD-II Standard,;
P0860, Gear Shift Module Communication Circuit,Powertrain,OBD-II Standard,;
P0861, Gear Shift Module Communication Circuit Low,Powertrain,OBD-II Standard,;
P0862, Gear Shift Module Communication Circuit High,Powertrain,OBD-II Standard,;
P0863, TCM Communication Circuit,Powertrain,OBD-II Standard,;
P0864, TCM Communication Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0865, TCM Communicati on Circuit Low,Powertrain,OBD-II Standard,;
P0866, TCM Communication Circuit High,Powertrain,OBD-II Standard,;
P0867, Transmission Fluid Pressure,Powertrain,OBD-II Standard,;
P0868, Transmission Fluid Pressure Low,Powertrain,OBD-II Standard,;
P0869, Transmission Fluid Pressure High,Powertrain,OBD-II Standard,;
P0870, Transmission Fluid Pressure Sensor/Switch C Circuit,Powertrain,OBD-II Standard,;
P0871, Transmission Fluid Pr essure Sensor/Switch C Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0872, Transmission Fluid Pressure Sensor/Switch C Circuit Low,Powertrain,OBD-II Standard,;
P0873, Transmission Fluid Pressure Sensor/Switch C Circuit High,Powertrain,OBD-II Standard,;
P0874, Transmission Fluid Pressure Sensor/Switch C Circuit Intermittent,Powertrain,OBD-II Standard,;
P0875, Transmission Fluid Pressure Sensor/Switch D Circuit,Powertrain,OBD-II Standard,;
P0876, Transmission Fluid Pressure Sensor/Switch D Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0877, Transmission Fluid Pressure Sensor/Switch D Circuit Low,Powertrain,OBD-II Standard,;
P0878, Transmission Fluid Pressure Sensor/Switch D Circuit High,Powertrain,OBD-II Standard,;
P0879, Transmission Fluid Pressure Sensor/Switch D Circuit Intermittent,Powertrain,OBD-II Standard,;
P0880, TCM Power Input Signal,Powertrain,OBD-II Standard,;
P0881, TCM Power Input Signal Range/Performance,Powertrain,OBD-II Standard,;
P0882, TCM Power Input Signal Low,Powertrain,OBD-II Standard,;
P0883, TCM Power Input Signal High,Powertrain,OBD-II Standard,;
P0884, TCM Power Inp ut Signal Intermittent,Powertrain,OBD-II Standard,;
P0885, TCM Power Relay Control Circuit/Open,Powertrain,OBD-II Standard,;
P0886, TCM Power Relay Control Circuit Low,Powertrain,OBD-II Standard,;
P0887, TCM Power Relay Control Circuit High,Powertrain,OBD-II Standard,;
P0888, TCM Power Relay Sense Circuit,Powertrain,OBD-II Standard,;
P0889, TCM Power Relay Sense Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0890, TCM Power Relay Sense Circuit Low,Powertrain,OBD-II Standard,;
P0891, TCM Power Relay Sense Circuit High,Powertrain,OBD-II Standard,;
P0892, TCM Power Relay Sense Circuit Intermittent,Powertrain,OBD-II Standard,;
P0893, Multiple Gears Engaged,Powertrain,OBD-II Standard,;
P0894, Transmission Component Slipping,Powertrain,OBD-II Standard,;
P0895, Shift Time Too Short,Powertrain,OBD-II Standard,;
P0896, Shift Time Too Long,Powertrain,OBD-II Standard,;
P0897, Transmission Fluid Deteriorated,Powertrain,OBD-II Standard,;
P0898, Transmission Control System MIL Request Circuit Low,Powertrain,OBD-II Standard,;
P0899, Transmission Control System MIL Request Circuit High,Powertrain,OBD-II Standard,;
P0900, Clutch Actuator Circuit/Open,Powertrain,OBD-II Standard,;
P0901, Clutch Actuator Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0902, Clutch Actuator Circuit Low,Powertrain,OBD-II Standard,;
P0903, Clutch Actuator Circuit High,Powertrain,OBD-II Standard,;
P0904, Gate Select Position Circuit,Powertrain,OBD-II Standard,;
P0905, Gate Select Position Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0906, Gate Select Position Circuit Low,Powertrain,OBD-II Standard,;
P0907, Gate Select Position Circuit High,Powertrain,OBD-II Standard,;
P0908, Gate Select Position Circuit Intermittent,Powertrain,OBD-II Standard,;
P0909, Gate Select Control Error,Powertrain,OBD-II Standard,;
P0910, Gate Select Actuator Circuit/Open,Powertrain,OBD-II Standard,;
P0911, Gate Select Actuator Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0912, Gate Select Actuator Circuit Low,Powertrain,OBD-II Standard,;
P0913, Gate Select Actuator Circuit High,Powertrain,OBD-II Standard,;
P0914, Gear Shift Position Circuit,Powertrain,OBD-II Standard,;
P0915, Gear Shift Position Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0916, Gear Shift Position Circuit Low,Powertrain,OBD-II Standard,;
P0917, Gear Shift Position Circuit High,Powertrain,OBD-II Standard,;
P0918, Gear Shift Position Circuit Intermittent,Powertrain,OBD-II Standard,;
P0919, Gear Shift Position Control Error,Powertrain,OBD-II Standard,;
P0920, Gear Shift Forward Actuator Circuit/Open,Powertrain,OBD-II Standard,;
P0921, Gear Shift Forward Actuator Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0922, Gear Shift Forward Actuator Circuit Low,Powertrain,OBD-II Standard,;
P0923, Gear Shift Forward Actuator Circuit High,Powertrain,OBD-II Standard,;
P0924, Gear Shift Reverse Actuator Circuit/Open,Powertrain,OBD-II Standard,;
P0925, Gear Shift Reverse Actuator Cir cuit Range/Performance,Powertrain,OBD-II Standard,;
P0926, Gear Shift Reverse Actuator Circuit Low,Powertrain,OBD-II Standard,;
P0927, Gear Shift Reverse Actuator Circuit High,Powertrain,OBD-II Standard,;
P0928, Gear Shift Lock Solenoid Control Circuit/Open,Powertrain,OBD-II Standard,;
P0929, Gear Shift Lock Solenoid Control Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0930, Gear Shift L ock Solenoid Control Circuit Low,Powertrain,OBD-II Standard,;
P0931, Gear Shift Lock Solenoid Control Circuit High,Powertrain,OBD-II Standard,;
P0932, Hydraulic Pressure Sensor Circuit,Powertrain,OBD-II Standard,;
P0933, Hydraulic Pressure Sensor Range/Performance,Powertrain,OBD-II Standard,;
P0934, Hydraulic Pressure Sensor Circuit Low,Powertrain,OBD-II Standard,;
P0935, Hydraulic Pressure Sensor Circuit High,Powertrain,OBD-II Standard,;
P0936, Hydraulic Pressure Sensor Circuit Intermittent,Powertrain,OBD-II Standard,;
P0937, Hydraulic Oil Temperature Sensor Circuit,Powertrain,OBD-II Standard,;
P0938, Hydraulic Oil Temperature Sensor Range/Performance,Powertrain,OBD-II Standard,;
P0939, Hydraulic Oil Temperature Sensor Circuit Low,Powertrain,OBD-II Standard,;
P0940, Hydraulic Oil Temperatur e Sensor Circuit High,Powertrain,OBD-II Standard,;
P0941, Hydraulic Oil Temperature Sensor Circuit Intermittent,Powertrain,OBD-II Standard,;
P0942, Hydraulic Pressure Unit,Powertrain,OBD-II Standard,;
P0943, Hydraulic Pressure Unit Cycling Period Too Short,Powertrain,OBD-II Standard,;
P0944, Hydraulic Pressure Unit Loss of Pressure,Powertrain,OBD-II Standard,;
P0945, Hydraulic Pump Relay Circuit/Op en,Powertrain,OBD-II Standard,;
P0946, Hydraulic Pump Relay Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0947, Hydraulic Pump Relay Circuit Low,Powertrain,OBD-II Standard,;
P0948, Hydraulic Pump Relay Circuit High,Powertrain,OBD-II Standard,;
P0949, Auto Shift Manual Adaptive Learning Not Complete,Powertrain,OBD-II Standard,;
P0950, Auto Shift Manual Control Circuit,Powertrain,OBD-II Standard,;
P0951, Auto Shift Man ual Control Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0952, Auto Shift Manual Control Circuit Low,Powertrain,OBD-II Standard,;
P0953, Auto Shift Manual Control Circuit High,Powertrain,OBD-II Standard,;
P0954, Auto Shift Manual Control Circuit Intermittent,Powertrain,OBD-II Standard,;
P0955, Auto Shift Manual Mode Circuit,Powertrain,OBD-II Standard,;
P0956, Auto Shift Manual Mode Circu it Range/Performance,Powertrain,OBD-II Standard,;
P0957, Auto Shift Manual Mode Circuit Low,Powertrain,OBD-II Standard,;
P0958, Auto Shift Manual Mode Circuit High,Powertrain,OBD-II Standard,;
P0959, Auto Shift Manual Mode Circuit Intermittent,Powertrain,OBD-II Standard,;
P0960, Pressure Control Solenoid A Control Circuit/Open,Powertrain,OBD-II Standard,;
P0961, Pressure Control Solenoid A Cont rol Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0962, Pressure Control Solenoid A Control Circuit Low,Powertrain,OBD-II Standard,;
P0963, Pressure Control Solenoid A Control Circuit High,Powertrain,OBD-II Standard,;
P0964, Pressure Control Solenoid B Control Circuit/Open,Powertrain,OBD-II Standard,;
P0965, Pressure Control Solenoid B Control Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0966, Pressure Control Solenoid B Control Circuit Low,Powertrain,OBD-II Standard,;
P0967, Pressure Control Solenoid B Control Circuit High,Powertrain,OBD-II Standard,;
P0968, Pressure Control Solenoid C Control Circuit/Open,Powertrain,OBD-II Standard,;
P0969, Pressure Control Solenoid C Control Circuit Range/Perfor mance,Powertrain,OBD-II Standard,;
P0970, Pressure Control Solenoid C Control Circuit Low,Powertrain,OBD-II Standard,;
P0971, Pressure Control Solenoid C Control Circuit High,Powertrain,OBD-II Standard,;
P0972, Shift Solenoid A Control Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0973, Shift Solenoid A Control Circuit Low,Powertrain,OBD-II Standard,;
P0974, Shift Solenoid A Con trol Circuit High,Powertrain,OBD-II Standard,;
P0975, Shift Solenoid B Control Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0976, Shift Solenoid B Control Circuit Low,Powertrain,OBD-II Standard,;
P0977, Shift Solenoid B Control Circuit High,Powertrain,OBD-II Standard,;
P0978, Shift Solenoid C Control Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0979, Shift Solenoid C Control Circuit Low,Powertrain,OBD-II Standard,;
P0980, Shift Solenoid C Control Circuit High,Powertrain,OBD-II Standard,;
P0981, Shift Solenoid D Control Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0982, Shift Solenoid D Control Circuit Low,Powertrain,OBD-II Standard,;
P0983, Shift Solenoid D Control Circuit High,Powertrain,OBD-II Standard,;
P0984, Shift Solenoid E Control C ircuit Range/Performance,Powertrain,OBD-II Standard,;
P0985, Shift Solenoid E Control Circuit Low,Powertrain,OBD-II Standard,;
P0986, Shift Solenoid E Control Circuit High,Powertrain,OBD-II Standard,;
P0987, Transmission Fluid Pressure Sensor/Switch E Circuit,Powertrain,OBD-II Standard,;
P0988, Transmission Fluid Pressure Sensor/Switch E Circuit Range/Performanc e,Powertrain,OBD-II Standard,;
P0989, Transmission Fluid Pressure Sensor/Switch E Circuit Low,Powertrain,OBD-II Standard,;
P0990, Transmission Fluid Pressure Sensor/Switch E Circuit High,Powertrain,OBD-II Standard,;
P0991, Transmission Fluid Pressure Sensor/Switch E Circuit Intermittent,Powertrain,OBD-II Standard,;
P0992, Transmission Fluid Pressure Sensor/Switch F Circuit,Powertrain,OBD-II Standard,;
P0993, Transmission Fluid Pressure Sensor/Switch F Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0994, Transmission Fluid Pressure Sensor/Switch F Circuit Low,Powertrain,OBD-II Standard,;
P0995, Transmission Fluid Pressure Sensor/Switch F Circuit High,Powertrain,OBD-II Standard,;
P0996, Transmission Fluid Pressure Sensor/Switch F Circuit Intermittent,Powertrain,OBD-II Standard,;
P0997, Shift Solenoid F Control Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0998, Shift Solenoid F Control Circuit Low,Powertrain,OBD-II Standard,;
P0999, Shift Solenoid F Control Circuit High,Powertrain,OBD-II Standard,;
P0A00, Motor Electronics Coolant Temperature Sensor Circuit,Powertrain,OBD-II Standard,;
P0A01, Motor Electronics Coolant Temperature Sensor Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0A02, Motor Electronics Coolant Temperature Sensor Circuit Low,Powertrain,OBD-II Standard,;
P0A03, Motor Electronics Coolant Temperature Sensor Circuit High,Powertrain,OBD-II Standard,;
P0A04, Motor Electronics Coolant Temperature Sensor Circuit Intermittent,Powertrain,OBD-II Standard,;
P0A05, Motor Electronics Coolant Pump Control Circuit/Open,Powertrain,OBD-II Standard,;
P0A06, Motor Electronics Coolant Pump Control Circuit Low,Powertrain,OBD-II Standard,;
P0A07, Motor Electronics Coolant Pump Control Circuit High,Powertrain,OBD-II Standard,;
P0A08, DC/DC Converter Status Circuit,Powertrain,OBD-II Standard,;
P0A09, DC/DC Converte r Status Circuit Low Input,Powertrain,OBD-II Standard,;
P0A10, DC/DC Converter Status Circuit High Input,Powertrain,OBD-II Standard,;
P0A11, DC/DC Converter Enable Circuit/Open,Powertrain,OBD-II Standard,;
P0A12, DC/DC Converter Enable Circuit Low,Powertrain,OBD-II Standard,;
P0A13, DC/DC Converter Enable Circuit High,Powertrain,OBD-II Standard,;
P0A14, Engine Mount Control Circuit/Open,Powertrain,OBD-II Standard,;
P0A15, Engi ne Mount Control Circuit Low,Powertrain,OBD-II Standard,;
P0A16, Engine Mount Control Circuit High,Powertrain,OBD-II Standard,;
P0A17, Motor Torque Sensor Circuit,Powertrain,OBD-II Standard,;
P0A18, Motor Torque Sensor Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0A19, Motor Torque Sensor Circuit Low,Powertrain,OBD-II Standard,;
P0A20, Motor Torque Sensor Circuit High,Powertrain,OBD-II Standard,;
P0A21, Motor Torque Sensor Circuit Intermittent,Powertrain,OBD-II Standard,;
P0A22, Generator Torque Sensor Circuit,Powertrain,OBD-II Standard,;
P0A23, Generator Torque Sensor Circuit Range/Performance,Powertrain,OBD-II Standard,;
P0A24, Generator Torque Sensor Circuit Low,Powertrain,OBD-II Standard,;
P0A25, Generator Torque Sensor Circuit High,Powertrain,OBD-II Standard,;
P0A26, Generator Torque Sensor Circuit Inter mittent,Powertrain,OBD-II Standard,;
P0A27, Battery Power Off Circuit,Powertrain,OBD-II Standard,;
P0A28, Battery Power Off Circuit Low,Powertrain,OBD-II Standard,;
P0A29, Battery Power Off Circuit High,Powertrain,OBD-II Standard,;
P1100,MAF Sensor Intermittent/ Check of all OBDII Systems Not,Powertrain,OBD-II Standard,;
P1101,MAF Sensor Out Of Self Test Range./KOER Not Able To,Powertrain,OBD-II Standard,;
P1102,MAF Sensor In Range But Lower Than Expected,Powertrain,OBD-II Standard,;
P1103,MAF Sensor In Range But Higher Than Expected,Powertrain,OBD-II Standard,;
P1104,MAF Ground Malfunction,Powertrain,OBD-II Standard,;
P1105,Dual Alternator Upper Fault,Powertrain,OBD-II Standard,;
P1106,Dual Alternator Lower Fault/ Manifold Absolute Pressure (MAP),Powertrain,OBD-II Standard,;
P1107,Dual Alternator Lower Circuit Malfunction/ Manifold Absolute,Powertrain,OBD-II Standard,;
P1108,Dual Alternator Battery Lamp Circuit Malfunction,Powertrain,OBD-II Standard,;
P1109,IAT-B Sensor Intermittent,Powertrain,OBD-II Standard,;
P1110,IAT Sensor (D/C) Open/Sh ort,Powertrain,OBD-II Standard,;
P1111,Intake Air Temperature (IAT) Sensor Circuit Intermittent High,Powertrain,OBD-II Standard,;
P1112,Intake Air Temperature (IAT) Sensor Circuit Intermittent Low,Powertrain,OBD-II Standard,;
P1113,IAT Sensor Open/Short,Powertrain,OBD-II Standard,;
P1114,Engine Coolant Temperature (ECT) Sensor Circuit Intermi ttent,Powertrain,OBD-II Standard,;
P1115,Engine Coolant Temperature (ECT) Sensor Circuit Intermittent,Powertrain,OBD-II Standard,;
P1116,Engine Coolant sensor out of range/ECT Sensor Out Of Self,Powertrain,OBD-II Standard,;
P1117,Engine Coolant Sensor intermittent/ECT Sensor Intermittent,Powertrain,OBD-II Standard,;
P1118,Manifold Absolute Temperature Circuit Low Input,Powertrain,OBD-II Standard,;
P1119,Manifold Absolute Temperature Circuit High Input,Powertrain,OBD-II Standard,;
P1120,Throttle position sensor out of range,Powertrain,OBD-II Standard,;
P1121,Throttle Position (TP) Sensor Circuit Int ermittent High Voltage,Powertrain,OBD-II Standard,;
P1122,Throttle Position (TP) Sensor Circuit Intermittent Low Voltage,Powertrain,OBD-II Standard,;
P1123,Throttle Position Sensor In Range But Higher Than Expected,Powertrain,OBD-II Standard,;
P1124,Throttle Position Sensor Out Of Self Test Range,Powertrain,OBD-II Standard,;
P1125,Throttle position sensor in termittent,Powertrain,OBD-II Standard,;
P1126,Throttle Position (Narrow Range) Sensor Circuit Malfunction,Powertrain,OBD-II Standard,;
"P1127,""Exhaust Not Warm, Downstream O2 Sensor"",Powertrain,OBD-II Standard,;"
P1128,Upstream Heated O2 Sensors Swapped,Powertrain,OBD-II Standard,;
P1129,Downstream Heated O2 Sensors Swapped,Powertrain,OBD-II Standard,;
P1130,Lack Of HO2S Switch -Adaptiv e Fuel At Limit,Powertrain,OBD-II Standard,;
P1131,Lack Of HO2S Switch -Sensor Indicates Lean,Powertrain,OBD-II Standard,;
P1132,Lack Of HO2S Switch -Sensor Indicates Rich,Powertrain,OBD-II Standard,;
P1133,HO2S Insufficient Switching Sensor 1,Powertrain,OBD-II Standard,;
P1134,HO2S Transition Time Ratio Sensor 1,Powertrain,OBD-II Standard,;
P1135,Pedal Position Sensor A Circuit In termittent,Powertrain,OBD-II Standard,;
P1136,Fan Control Circuit Malfunction,Powertrain,OBD-II Standard,;
P1137,Lack Of HO2S Switch -Sensor Indicates Lean,Powertrain,OBD-II Standard,;
P1138,Lack Of HO2S12 Switch -Sensor Indicates Rich,Powertrain,OBD-II Standard,;
P1139,Water In Fuel Indicator Circuit Malfunction,Powertrain,OBD-II Standard,;
P1140,Water In Fuel Condition,Powertrain,OBD-II Standard,;
P1141,Fuel Restriction Indicator Circuit Malfunction,Powertrain,OBD-II Standard,;
P1142,Fuel Restriction Condition,Powertrain,OBD-II Standard,;
P1143,Air Assist Control Valve Range/Performance,Powertrain,OBD-II Standard,;
P1144,Air Assist Control Valve Circuit Malfunction,Powertrain,OBD-II Standard,;
P1150,Lack Of HO2S21 Switch -Adaptive Fuel At Limit,Powertrain,OBD-II Standard,;
P1151,Lack Of HO2S21 Switch -Sensor Indicates Lean,Powertrain,OBD-II Standard,;
P1152,Lack Of HO2S21 Switch -Sensor Indicates Rich,Powertrain,OBD-II Standard,;
P1153,Bank 2 Fuel Control Shifted Lean,Powertrain,OBD-II Standard,;
P1154,Bank 2 Fuel Control Shifted Rich,Powertrain,OBD-II Standard,;
P1155,Alternative Fuel Controller,Powertrain,OBD-II Standard,;
P1156,Fuel Select Switch Malfuncti on,Powertrain,OBD-II Standard,;
P1157,Lack Of HO2S22 Switch -Sensor Indicates Lean,Powertrain,OBD-II Standard,;
P1158,Lack Of HO2S22 Switch -Sensor Indicates Rich,Powertrain,OBD-II Standard,;
P1159,Fuel Stepper Motor Malfunction,Powertrain,OBD-II Standard,;
"P1167,""Invalid Test,throttle not depressed"",Powertrain,OBD-II Standard,;"
P1168,Fuel Rail Sensor In -Range Low Failure,Powertrain,OBD-II Standard,;
P1169,Fuel Rail Sensor In -Range High Failure,Powertrain,OBD-II Standard,;
P1170,ESO-Engine Shut Off Solenoid Fault,Powertrain,OBD-II Standard,;
P1171,Rotor Sensor Fault,Powertrain,OBD-II Standard,;
P1172,Rotor Control Fault,Powertrain,OBD-II Standard,;
P1173,Rotor Calibration Fault,Powertrain,OBD-II Standard,;
P1174,Cam Sensor Fault,Powertrain,OBD-II Standard,;
P1175,Cam Control Fault,Powertrain,OBD-II Standard,;
P1176,Cam Calibration Fault,Powertrain,OBD-II Standard,;
P1177,Synchronization Fault,Powertrain,OBD-II Standard,;
P1178,( open ),Powertrain,OBD-II Standard,;
P1180,Fuel Delivery System Malfunction -Low,Powertrain,OBD-II Standard,;
P1181,Fuel Delivery System Malfunction -High,Powertrain,OBD-II Standard,;
P1182,Fuel Shut Off Solenoid Malfunction,Powertrain,OBD-II Standard,;
P1183,Engine Oil Temperature Circuit Malfunction,Powertrain,OBD-II Standard,;
P1184,Engine Oil Temperature Out Of Self Test Range,Powertrain,OBD-II Standard,;
P1185,FTS High -Fuel Pump Temperature Sensor High,Powertrain,OBD-II Standard,;
P1186,FTS Low -Fuel Pump Temperature Sensor Low,Powertrain,OBD-II Standard,;
P1187,Variant Selection,Powertrain,OBD-II Standard,;
P1188,Calibration Memory Fault,Powertrain,OBD-II Standard,;
P1189,Pump Speed Signal Fault,Powertrain,OBD-II Standard,;
P1190,Calibration Resistor Out Of Range,Powertrain,OBD-II Standard,;
P1191,Key Line Voltage,Powertrain,OBD-II Standard,;
P1192,Voltage External,Powertrain,OBD-II Standard,;
P1193,EGR Drive Overcurrent,Powertrain,OBD-II Standard,;
P1194,ECU A/D Converter,Powertrain,OBD-II Standard,;
P1195,SCP HBCC Failed To Initialize,Powertrain,OBD-II Standard,;
P1196,Key Off Voltage High,Powertrain,OBD-II Standard,;
P1197,Key Off Voltage Low,Powertrain,OBD-II Standard,;
P1198,Pump Rotor Control Underfueling,Powertrain,OBD-II Standard,;
P1199,Fuel Level Input Circuit Low,Powertrain,OBD-II Standard,;
P1200,Injector Control Circuit,Powertrain,OBD-II Standard,;
P1201,Injector Circuit Open / Shorted -Cylinder #1,Powertrain,OBD-II Standard,;
P1202,Injector Circuit Open / Shorted -Cylinder #2,Powertrain,OBD-II Standard,;
P1203,Injector Circuit Open / Shorted -Cylinder #3,Powertrain,OBD-II Standard,;
P1204,Injector Circuit Open / Shorted -Cylinder #4,Powertrain,OBD-II Standard,;
P1205,Injector Circuit Open / Shorted -Cylinder #5,Powertrain,OBD-II Standard,;
